bade abed
bate abet
cade aced
cadi acid
carse acres
case aces
cast acts
dauts adust
edits deist
gaits agist
hame ahem
idem dime
idle diel
irised irides
kino ikon
lace alec
lase ales
last alts
lati alit
lees else
madden damned
mako amok
mane amen
miasm imams
midi imid
milden limned
neguses genuses
nitre inter
nomadic monacid
nomisms monisms
obol bolo
odes dose
ogre goer
ogres gorse
oles lose
omer more
omits moist
ones nose
pare aper
pase apes
passe apses
peso epos
pone open
pose opes
post opts
raptor parrot
rase ares
recuses ceruses
refusal ferulas
remises merises
rets erst
ride ired
rise ires
risk irks
roar orra
rood ordo
rose ores
senses nesses
sora osar
stifle itself
sucres cusser
time item
toot otto
tsadi staid
tussar sutras
ughs gush
ulan luna
ulcer lucre
user sure
vase aves
verste revets
wade awed
were ewer
woes owse
year eyra
yore oyer
